image_file,article_id,product_type_name,product_group_name,garment_group_name,colour_group_name,index_group_name,prod_name
0111586001.jpg,0111586001,Leggings/Tights,Garment Lower body,Socks and Tights,Black,Ladieswear,Shape Up 30 den 1p Tights
0112679048.jpg,0112679048,Sweater,Garment Upper body,Jersey Basic,Grey,Baby/Children,SWEATSHIRT  OC
0112679052.jpg,0112679052,Sweater,Garment Upper body,Jersey Basic,Light Blue,Baby/Children,SWEATSHIRT  OC
0118458003.jpg,0118458003,Trousers,Garment Lower body,Jersey Basic,Dark Grey,Menswear,Jerry jogger bottoms
0146721001.jpg,0146721001,Hair string,Accessories,Accessories,Gold,Ladieswear,Hair Ring
0146721002.jpg,0146721002,Hair string,Accessories,Accessories,Silver,Ladieswear,Hair Ring
0181160009.jpg,0181160009,Boots,Shoes,Shoes,Yellowish Brown,Divided,Eva chelsea boot
0192460006.jpg,0192460006,Dress,Garment Full body,Knitwear,Dark Grey,Divided,Knit dress
0202017055.jpg,0202017055,Dress,Garment Full body,Jersey Basic,White,Ladieswear,Rihanna dress
0212042036.jpg,0212042036,Sneakers,Shoes,Shoes,Other,Divided,Mimmi sneaker
0357792008.jpg,0357792008,Sunglasses,Accessories,Accessories,Light Purple,Ladieswear,Cool Alessa Cat
0398089023.jpg,0398089023,Shorts,Garment Lower body,Trousers Denim,Blue,Divided,Shorts R.W Bargain
0436570026.jpg,0436570026,Bag,Accessories,Accessories,Blue,Ladieswear,Moscow Cross Bag
0443860014.jpg,0443860014,Polo shirt,Garment Upper body,Knitwear,Dark Yellow,Menswear,S/S Polo Highline
0458083007.jpg,0458083007,Belt,Accessories,Shoes,Yellowish Brown,Baby/Children,BELT LEATHER
0469562036.jpg,0469562036,Trousers,Garment Lower body,Trousers,Blue,Ladieswear,Skinny denim (1)
0469562048.jpg,0469562048,Trousers,Garment Lower body,Trousers,Dark Blue,Ladieswear,Skinny denim (1)
0482638006.jpg,0482638006,Sandals,Shoes,Shoes,Black,Divided,DORIS SANDAL
0484108014.jpg,0484108014,Hoodie,Garment Upper body,Jersey Basic,Light Orange,Divided,Anni oversize hoodie
0501616010.jpg,0501616010,Shirt,Garment Upper body,Shirts,Blue,Menswear,FRAME Easy Iron
0502175002.jpg,0502175002,Trousers,Garment Lower body,Unknown,Black,Sport,BB Kevin Trs
0504113004.jpg,0504113004,Dress,Garment Full body,Dresses Ladies,Black,Divided,Zoo
0504890004.jpg,0504890004,Earring,Accessories,Accessories,Gold,Ladieswear,Flirty Timmy studs
0512630003.jpg,0512630003,Boots,Shoes,Shoes,Black,Ladieswear,OL TRANCE
0515692013.jpg,0515692013,Sweater,Garment Upper body,Knitwear,Red,Menswear,Ripley r-neck
0515692016.jpg,0515692016,Sweater,Garment Upper body,Knitwear,Red,Menswear,Ripley r-neck
0524906002.jpg,0524906002,Bag,Accessories,Accessories,Gold,Ladieswear,Sierra cross bag
0525500008.jpg,0525500008,Trousers,Garment Lower body,Trousers,Dark Beige,Menswear,Mike jogger
0525500023.jpg,0525500023,Trousers,Garment Lower body,Trousers,Dark Red,Menswear,Mike jogger
0528111002.jpg,0528111002,Dress,Garment Full body,Dresses Ladies,Red,Ladieswear,Carried away dress
0534181008.jpg,0534181008,Coat,Garment Upper body,Outdoor,Dark Beige,Ladieswear,Femme (1)
0537183005.jpg,0537183005,Scarf,Accessories,Accessories,Red,Ladieswear,Kessia Letter Scarf
0539499002.jpg,0539499002,Boots,Shoes,Shoes,Light Beige,Divided,Carolina Ankel Padding boot
0539744001.jpg,0539744001,Boots,Shoes,Shoes,Black,Ladieswear,ESTEVEZ
